326, C, 91, 80
343, N, 82, 67
409, C, 64, 32
422, C, 64, 117
434, C, 64, 127
463, N, 84, 78
542, N, 85, 70
545, N, 84, 0
565, N, 82, 0
611, N, 81, 68
613, N, 85, 0
679, N, 82, 62
685, N, 81, 0
765, N, 78, 50
772, N, 82, 0
833, N, 46, 43
844, N, 78, 0
845, C, 64, 109
852, N, 77, 52
857, C, 64, 13
870, C, 64, 0
883, C, 64, 73
896, C, 64, 127
911, N, 46, 0
947, N, 53, 45
968, N, 77, 0
991, N, 53, 0
1030, N, 61, 43
1030, N, 77, 85
1057, N, 61, 0
1098, N, 58, 50
1102, N, 77, 0
1167, N, 77, 83
1167, N, 65, 49
1185, N, 65, 0
1191, N, 58, 0
1245, N, 53, 46
1255, N, 77, 0
1256, N, 53, 0
1326, N, 77, 74
1328, N, 46, 51
1331, C, 64, 37
1344, C, 64, 0
1357, C, 64, 32
1370, C, 64, 127
1391, N, 46, 0
1427, N, 53, 45
1445, N, 53, 0
1491, N, 77, 0
1500, N, 63, 43
1500, N, 78, 53
1532, N, 63, 0
1568, N, 77, 72
1573, N, 57, 51
1576, N, 78, 0
1616, N, 57, 0
1618, N, 77, 0
1634, N, 65, 53
1634, N, 75, 73
1651, N, 65, 0
1689, N, 75, 0
1694, N, 72, 66
1695, N, 53, 42
1707, N, 53, 0
1742, N, 72, 0
1754, C, 64, 84
1755, N, 73, 70
1762, N, 46, 49
1767, C, 64, 0
1780, C, 64, 9
1793, C, 64, 125
1797, N, 46, 0
1806, C, 64, 127
1821, N, 73, 0
1834, N, 53, 51
1886, N, 53, 0
1906, N, 61, 43
1937, N, 61, 0
1975, N, 58, 49
2058, N, 70, 70
2064, N, 65, 40
2075, N, 70, 0
2077, N, 65, 0
2083, N, 58, 0
2144, N, 53, 51
2157, N, 53, 0
2228, N, 46, 59
2228, C, 64, 60
2236, N, 82, 63
2241, C, 64, 0
2280, C, 64, 109
2292, C, 64, 127
2310, N, 84, 66
2314, N, 46, 0
2327, N, 53, 49
2367, N, 85, 88
2372, N, 84, 0
2381, N, 53, 0
2382, N, 82, 0
2399, N, 61, 50
2406, N, 81, 83
2410, N, 85, 0
2431, N, 61, 0
2438, N, 82, 75
2442, N, 81, 0
2454, N, 58, 58
2470, N, 81, 64
2472, N, 82, 0
2506, N, 81, 0
2507, N, 80, 73
2513, N, 65, 45
2539, N, 65, 0
2546, N, 80, 0
2546, N, 81, 61
2550, N, 58, 0
2581, N, 81, 0
2584, N, 84, 63
2601, N, 53, 51
2628, N, 82, 73
2632, N, 84, 0
2634, N, 53, 0
2667, N, 78, 70
2671, N, 82, 0
2694, N, 46, 60
2702, C, 64, 49
2703, N, 78, 0
2706, N, 77, 88
2715, C, 64, 26
